date,value
1993-02-24,2479.8694
1993-03-03,2497.9191
1993-03-10,2489.0895
1993-03-17,2488.9778
1993-03-24,2503.8962
1993-03-31,2496.4787
1993-04-07,2499.4336
1993-04-14,2497.4675
1993-04-21,2484.8698
1993-04-28,2507.1018
1993-05-05,2520.3924
1993-05-12,2526.1216
1993-05-19,2509.8551
1993-05-26,2523.1683
1993-06-02,2528.831
1993-06-09,2533.3956
1993-06-16,2524.9646
1993-06-23,2529.0452
1993-06-30,2510.8301
1993-07-07,2535.7517
1993-07-14,2526.7348
1993-07-21,2512.9565
1993-07-28,2509.8901
1993-08-04,2518.8024
1993-08-11,2521.1054
1993-08-18,2503.5707
1993-08-25,2523.5349
1993-09-01,2534.0356
1993-09-08,2512.4583
1993-09-15,2563.664
1993-09-22,2509.2806
1993-09-29,2512.3665
1993-10-06,2514.7997
1993-10-13,2520.2846
1993-10-20,2513.1961
1993-10-27,2522.1213
1993-11-03,2523.8392
1993-11-10,2520.0411
1993-11-17,2510.2214
1993-11-24,2530.6006
1993-12-01,2549.9959
1993-12-08,2534.9599
1993-12-15,2564.0796
1993-12-22,2531.0345
1993-12-29,2504.2717
1994-01-05,2522.0727
1994-01-12,2535.9776
1994-01-19,2535.5561
1994-01-26,2542.4354
1994-02-02,2529.8682
1994-02-09,2531.5854
1994-02-16,2523.6382
